UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
T,31.01,*,T190329C00021000,,call,03/29/2019,03/28/2019,21,0,9.95,10.15,0,0,0
T,31.01,*,T190329P00021000,,put,03/29/2019,03/28/2019,21,0,0,0.02,0,0,0
T,31.01,*,T190329C00022000,,call,03/29/2019,03/28/2019,22,0,8.25,9.8,0,0,0
T,31.01,*,T190329P00022000,,put,03/29/2019,03/28/2019,22,0,0,0.02,0,0,0
T,31.01,*,T190329C00022500,,call,03/29/2019,03/28/2019,22.5,0,8.25,9.1,0,0,0
T,31.01,*,T190329P00022500,,put,03/29/2019,03/28/2019,22.5,0.03,0,0.02,0,2,2
T,31.01,*,T190329C00023000,,call,03/29/2019,03/28/2019,23,0,7.65,8.6,0,0,0
T,31.01,*,T190329P00023000,,put,03/29/2019,03/28/2019,23,0,0,0.02,0,0,0
T,31.01,*,T190329C00023500,,call,03/29/2019,03/28/2019,23.5,6.85,7.25,7.95,0,1,1
T,31.01,*,T190329P00023500,,put,03/29/2019,03/28/2019,23.5,0.01,0,0.02,0,20,20
T,31.01,*,T190329C00024000,,call,03/29/2019,03/28/2019,24,0,6.75,7.2,0,0,0
T,31.01,*,T190329P00024000,,put,03/29/2019,03/28/2019,24,0.05,0,0.02,0,5,5
T,31.01,*,T190329C00024500,,call,03/29/2019,03/28/2019,24.5,0,6.45,6.8,0,0,0
T,31.01,*,T190329P00024500,,put,03/29/2019,03/28/2019,24.5,0,0,0.02,0,0,0
T,31.01,*,T190329C00025000,,call,03/29/2019,03/28/2019,25,0,5.75,6.35,0,0,0
T,31.01,*,T190329P00025000,,put,03/29/2019,03/28/2019,25,0,0,0.02,0,7,7
T,31.01,*,T190329C00025500,,call,03/29/2019,03/28/2019,25.5,5.25,5.25,5.75,0,3,3
T,31.01,*,T190329P00025500,,put,03/29/2019,03/28/2019,25.5,0.02,0,0.02,0,7,7
T,31.01,*,T190329C00026000,,call,03/29/2019,03/28/2019,26,5.01,4.7,5.25,0,4,4
T,31.01,*,T190329P00026000,,put,03/29/2019,03/28/2019,26,0.02,0,0.02,0,38,38
T,31.01,*,T190329C00026500,,call,03/29/2019,03/28/2019,26.5,3.8,4.25,4.65,0,16,16
T,31.01,*,T190329P00026500,,put,03/29/2019,03/28/2019,26.5,0.03,0,0.02,0,568,568
T,31.01,*,T190329C00027000,,call,03/29/2019,03/28/2019,27,4.25,3.75,4.35,0,33,33
T,31.01,*,T190329P00027000,,put,03/29/2019,03/28/2019,27,0.01,0,0.02,0,167,167
T,31.01,*,T190329C00027500,,call,03/29/2019,03/28/2019,27.5,3.3,3.3,3.7,0,56,56
T,31.01,*,T190329P00027500,,put,03/29/2019,03/28/2019,27.5,0.02,0,0.01,0,55,55
T,31.01,*,T190329C00028000,,call,03/29/2019,03/28/2019,28,3.35,2.96,3.1,0,770,770
T,31.01,*,T190329P00028000,,put,03/29/2019,03/28/2019,28,0.01,0,0.01,0,781,781
T,31.01,*,T190329C00028500,,call,03/29/2019,03/28/2019,28.5,2.41,2.51,2.59,13,125,130
T,31.01,*,T190329P00028500,,put,03/29/2019,03/28/2019,28.5,0.01,0,0.02,0,622,622
T,31.01,*,T190329C00029000,,call,03/29/2019,03/28/2019,29,1.91,2,2.09,18,411,395
T,31.01,*,T190329P00029000,,put,03/29/2019,03/28/2019,29,0.01,0,0.01,0,1299,1299
T,31.01,*,T190329C00029500,,call,03/29/2019,03/28/2019,29.5,1.49,1.51,1.58,9,444,449
T,31.01,*,T190329P00029500,,put,03/29/2019,03/28/2019,29.5,0.02,0,0.01,0,1895,1895
T,31.01,*,T190329C00030000,,call,03/29/2019,03/28/2019,30,1.08,1,1.08,278,2009,1885
T,31.01,*,T190329P00030000,,put,03/29/2019,03/28/2019,30,0.01,0,0.01,184,3377,3350
T,31.01,*,T190329C00030500,,call,03/29/2019,03/28/2019,30.5,0.57,0.53,0.55,798,2387,2101
T,31.01,*,T190329P00030500,,put,03/29/2019,03/28/2019,30.5,0.02,0.01,0.03,636,4580,4767
T,31.01,*,T190329C00031000,,call,03/29/2019,03/28/2019,31,0.14,0.13,0.15,5098,8162,8747
T,31.01,*,T190329P00031000,,put,03/29/2019,03/28/2019,31,0.11,0.11,0.12,2770,6613,6274
T,31.01,*,T190329C00031500,,call,03/29/2019,03/28/2019,31.5,0.02,0.01,0.02,5346,10389,12624
T,31.01,*,T190329P00031500,,put,03/29/2019,03/28/2019,31.5,0.45,0.47,0.52,2485,1833,1528
T,31.01,*,T190329C00032000,,call,03/29/2019,03/28/2019,32,0.01,0,0.01,793,11376,11341
T,31.01,*,T190329P00032000,,put,03/29/2019,03/28/2019,32,0.9,0.92,1,504,1275,1083
T,31.01,*,T190329C00032500,,call,03/29/2019,03/28/2019,32.5,0.01,0,0.01,0,1942,1942
T,31.01,*,T190329P00032500,,put,03/29/2019,03/28/2019,32.5,1.03,1.35,1.53,10,10,8
T,31.01,*,T190329C00033000,,call,03/29/2019,03/28/2019,33,0.01,0,0.02,0,366,366
T,31.01,*,T190329P00033000,,put,03/29/2019,03/28/2019,33,2.21,1.9,2.02,0,0,0
T,31.01,*,T190329C00033500,,call,03/29/2019,03/28/2019,33.5,0.01,0,0.01,0,304,304
T,31.01,*,T190329P00033500,,put,03/29/2019,03/28/2019,33.5,2.08,2.36,2.56,1,0,1
T,31.01,*,T190329C00034000,,call,03/29/2019,03/28/2019,34,0.01,0,0.01,0,67,67
T,31.01,*,T190329P00034000,,put,03/29/2019,03/28/2019,34,2.52,2.88,3.1,0,0,0
T,31.01,*,T190329C00034500,,call,03/29/2019,03/28/2019,34.5,0,0,0.02,0,0,0
T,31.01,*,T190329P00034500,,put,03/29/2019,03/28/2019,34.5,3.85,2.98,3.75,0,0,0
T,31.01,*,T190329C00035000,,call,03/29/2019,03/28/2019,35,0.02,0,0.01,0,10,10
T,31.01,*,T190329P00035000,,put,03/29/2019,03/28/2019,35,4,3.75,4.25,0,0,0
T,31.01,*,T190329C00035500,,call,03/29/2019,03/28/2019,35.5,0,0,0.02,0,0,0
T,31.01,*,T190329P00035500,,put,03/29/2019,03/28/2019,35.5,0,4.35,4.75,0,0,0
T,31.01,*,T190329C00036000,,call,03/29/2019,03/28/2019,36,0,0,0.02,0,0,0
T,31.01,*,T190329P00036000,,put,03/29/2019,03/28/2019,36,5.45,4.85,5.05,0,0,0
T,31.01,*,T190329C00036500,,call,03/29/2019,03/28/2019,36.5,0,0,0.02,0,0,0
T,31.01,*,T190329P00036500,,put,03/29/2019,03/28/2019,36.5,5.95,5.25,5.7,0,0,0
T,31.01,*,T190329C00037000,,call,03/29/2019,03/28/2019,37,0,0,0.02,0,0,0
T,31.01,*,T190329P00037000,,put,03/29/2019,03/28/2019,37,0,5.7,6.05,0,0,0
T,31.01,*,T190329C00037500,,call,03/29/2019,03/28/2019,37.5,0,0,0.02,0,0,0
T,31.01,*,T190329P00037500,,put,03/29/2019,03/28/2019,37.5,7,6.2,6.75,0,0,0
T,31.01,*,T190329C00038000,,call,03/29/2019,03/28/2019,38,0,0,0.02,0,0,0
T,31.01,*,T190329P00038000,,put,03/29/2019,03/28/2019,38,0,6.75,7.2,0,0,0
T,31.01,*,T190329C00039000,,call,03/29/2019,03/28/2019,39,0,0,0.02,0,0,0
T,31.01,*,T190329P00039000,,put,03/29/2019,03/28/2019,39,0,7.6,8.3,0,0,0
T,31.01,*,T190405C00023000,,call,04/05/2019,03/28/2019,23,0,7.8,8.3,0,0,0
T,31.01,*,T190405P00023000,,put,04/05/2019,03/28/2019,23,0,0,0.02,0,0,0
T,31.01,*,T190405C00024000,,call,04/05/2019,03/28/2019,24,6.3,6.95,7.2,0,27,27
T,31.01,*,T190405P00024000,,put,04/05/2019,03/28/2019,24,0.01,0,0.02,0,10,10
T,31.01,*,T190405C00024500,,call,04/05/2019,03/28/2019,24.5,0,6.45,6.7,0,0,0
T,31.01,*,T190405P00024500,,put,04/05/2019,03/28/2019,24.5,0.01,0,0.02,0,10,10
T,31.01,*,T190405C00025000,,call,04/05/2019,03/28/2019,25,6.36,5.95,6.15,0,15,15
