UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
T,31.06,*,T190322C00022000,,call,03/22/2019,03/21/2019,22,0,8.3,9.45,0,0,0
T,31.06,*,T190322P00022000,,put,03/22/2019,03/21/2019,22,0.01,0,0.02,0,31,31
T,31.06,*,T190322C00022500,,call,03/22/2019,03/21/2019,22.5,0,7.45,8.95,0,0,0
T,31.06,*,T190322P00022500,,put,03/22/2019,03/21/2019,22.5,0,0,0.02,0,0,0
T,31.06,*,T190322C00023000,,call,03/22/2019,03/21/2019,23,0,6.75,8.45,0,0,0
T,31.06,*,T190322P00023000,,put,03/22/2019,03/21/2019,23,0,0,0.02,0,0,0
T,31.06,*,T190322C00023500,,call,03/22/2019,03/21/2019,23.5,7.2,6.7,8.15,0,6,6
T,31.06,*,T190322P00023500,,put,03/22/2019,03/21/2019,23.5,0,0,0.09,0,0,0
T,31.06,*,T190322C00024000,,call,03/22/2019,03/21/2019,24,0,6.95,7.25,0,20,20
T,31.06,*,T190322P00024000,,put,03/22/2019,03/21/2019,24,0,0,0.02,0,0,0
T,31.06,*,T190322C00024500,,call,03/22/2019,03/21/2019,24.5,5.55,6.45,6.65,0,24,24
T,31.06,*,T190322P00024500,,put,03/22/2019,03/21/2019,24.5,0,0,0.02,0,0,0
T,31.06,*,T190322C00025000,,call,03/22/2019,03/21/2019,25,5.6,5.95,6.15,0,2,2
T,31.06,*,T190322P00025000,,put,03/22/2019,03/21/2019,25,0.01,0,0.02,0,11,11
T,31.06,*,T190322C00025500,,call,03/22/2019,03/21/2019,25.5,5.04,5.5,5.65,0,50,50
T,31.06,*,T190322P00025500,,put,03/22/2019,03/21/2019,25.5,0.06,0,0.03,0,1,1
T,31.06,*,T190322C00026000,,call,03/22/2019,03/21/2019,26,4.52,4.95,5.35,0,104,104
T,31.06,*,T190322P00026000,,put,03/22/2019,03/21/2019,26,0.02,0,0.02,0,15,15
T,31.06,*,T190322C00026500,,call,03/22/2019,03/21/2019,26.5,0,4.5,4.65,0,111,111
T,31.06,*,T190322P00026500,,put,03/22/2019,03/21/2019,26.5,0.02,0,0.01,0,27,27
T,31.06,*,T190322C00027000,,call,03/22/2019,03/21/2019,27,3.65,4,4.15,0,31,31
T,31.06,*,T190322P00027000,,put,03/22/2019,03/21/2019,27,0.01,0,0.02,0,84,84
T,31.06,*,T190322C00027500,,call,03/22/2019,03/21/2019,27.5,3.25,3.5,3.75,0,795,795
T,31.06,*,T190322P00027500,,put,03/22/2019,03/21/2019,27.5,0.01,0,0.01,0,311,311
T,31.06,*,T190322C00028000,,call,03/22/2019,03/21/2019,28,3.01,3.05,3.1,2,353,352
T,31.06,*,T190322P00028000,,put,03/22/2019,03/21/2019,28,0.01,0,0.01,0,2085,2085
T,31.06,*,T190322C00028500,,call,03/22/2019,03/21/2019,28.5,2.61,2.55,2.59,122,338,418
T,31.06,*,T190322P00028500,,put,03/22/2019,03/21/2019,28.5,0.01,0,0.01,56,717,661
T,31.06,*,T190322C00029000,,call,03/22/2019,03/21/2019,29,2.02,2.07,2.09,178,341,242
T,31.06,*,T190322P00029000,,put,03/22/2019,03/21/2019,29,0.01,0,0.01,10,1052,1042
T,31.06,*,T190322C00029500,,call,03/22/2019,03/21/2019,29.5,1.54,1.55,1.59,313,716,660
T,31.06,*,T190322P00029500,,put,03/22/2019,03/21/2019,29.5,0.01,0,0.01,2,1432,1431
T,31.06,*,T190322C00030000,,call,03/22/2019,03/21/2019,30,1.05,1.07,1.09,1271,2657,2378
T,31.06,*,T190322P00030000,,put,03/22/2019,03/21/2019,30,0.01,0,0.01,241,3620,3601
T,31.06,*,T190322C00030500,,call,03/22/2019,03/21/2019,30.5,0.61,0.57,0.61,3711,4571,3859
T,31.06,*,T190322P00030500,,put,03/22/2019,03/21/2019,30.5,0.01,0.01,0.02,1957,4231,3119
T,31.06,*,T190322C00031000,,call,03/22/2019,03/21/2019,31,0.16,0.15,0.16,8092,8876,8659
T,31.06,*,T190322P00031000,,put,03/22/2019,03/21/2019,31,0.07,0.08,0.09,5134,4637,4731
