UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
T,31.07,*,T190322C00022000,,call,03/22/2019,03/22/2019,22,9.2,7.05,11.5,1,0,0
T,31.07,*,T190322P00022000,,put,03/22/2019,03/22/2019,22,0.01,0,0.02,0,31,0
T,31.07,*,T190322C00022500,,call,03/22/2019,03/22/2019,22.5,0,6.6,11,0,0,0
T,31.07,*,T190322P00022500,,put,03/22/2019,03/22/2019,22.5,0,0,0.02,0,0,0
T,31.07,*,T190322C00023000,,call,03/22/2019,03/22/2019,23,0,6.05,10.4,0,0,0
T,31.07,*,T190322P00023000,,put,03/22/2019,03/22/2019,23,0,0,0.02,0,0,0
T,31.07,*,T190322C00023500,,call,03/22/2019,03/22/2019,23.5,7.2,7.45,8.95,0,6,0
T,31.07,*,T190322P00023500,,put,03/22/2019,03/22/2019,23.5,0,0,0.02,0,0,0
T,31.07,*,T190322C00024000,,call,03/22/2019,03/22/2019,24,7.05,6.85,7.5,0,20,0
T,31.07,*,T190322P00024000,,put,03/22/2019,03/22/2019,24,0,0,0.02,0,0,0
T,31.07,*,T190322C00024500,,call,03/22/2019,03/22/2019,24.5,5.55,6.3,6.95,0,24,0
T,31.07,*,T190322P00024500,,put,03/22/2019,03/22/2019,24.5,0,0,0.02,0,0,0
T,31.07,*,T190322C00025000,,call,03/22/2019,03/22/2019,25,6.1,5.9,6.45,2,2,0
T,31.07,*,T190322P00025000,,put,03/22/2019,03/22/2019,25,0,0,0.02,0,11,0
T,31.07,*,T190322C00025500,,call,03/22/2019,03/22/2019,25.5,5.04,5.3,6.55,0,50,0
T,31.07,*,T190322P00025500,,put,03/22/2019,03/22/2019,25.5,0.06,0,0.02,0,1,0
T,31.07,*,T190322C00026000,,call,03/22/2019,03/22/2019,26,5.26,4.95,5.3,5,104,0
T,31.07,*,T190322P00026000,,put,03/22/2019,03/22/2019,26,0.02,0,0.02,0,15,0
T,31.07,*,T190322C00026500,,call,03/22/2019,03/22/2019,26.5,3.9,4.55,4.7,0,111,0
T,31.07,*,T190322P00026500,,put,03/22/2019,03/22/2019,26.5,0.02,0,0.02,0,27,0
T,31.07,*,T190322C00027000,,call,03/22/2019,03/22/2019,27,3.65,4,4.3,0,31,0
T,31.07,*,T190322P00027000,,put,03/22/2019,03/22/2019,27,0.04,0,0.02,2,84,0
T,31.07,*,T190322C00027500,,call,03/22/2019,03/22/2019,27.5,3.25,3.55,3.75,0,795,0
