UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
T,30.28,*,T190315C00015000,,call,03/15/2019,03/13/2019,15,15.35,15.25,15.35,35,70,105
T,30.28,*,T190315P00015000,,put,03/15/2019,03/13/2019,15,0,0,0.01,0,0,0
T,30.28,*,T190315C00016000,,call,03/15/2019,03/13/2019,16,14.95,14.25,14.35,0,46,46
T,30.28,*,T190315P00016000,,put,03/15/2019,03/13/2019,16,0.01,0,0.01,0,2,2
T,30.28,*,T190315C00017000,,call,03/15/2019,03/13/2019,17,13.35,13.25,13.35,4,2,6
T,30.28,*,T190315P00017000,,put,03/15/2019,03/13/2019,17,0,0,0.01,0,0,0
T,30.28,*,T190315C00018000,,call,03/15/2019,03/13/2019,18,13.2,12.25,12.4,0,4,4
T,30.28,*,T190315P00018000,,put,03/15/2019,03/13/2019,18,0,0,0.01,0,0,0
T,30.28,*,T190315C00019000,,call,03/15/2019,03/13/2019,19,0,11.05,11.55,0,0,0
T,30.28,*,T190315P00019000,,put,03/15/2019,03/13/2019,19,0,0,0.01,0,0,0
T,30.28,*,T190315C00020000,,call,03/15/2019,03/13/2019,20,10.3,10.25,10.4,0,31,31
T,30.28,*,T190315P00020000,,put,03/15/2019,03/13/2019,20,0.01,0,0.01,0,69,69
T,30.28,*,T190315C00021000,,call,03/15/2019,03/13/2019,21,10,9.2,9.35,0,30,30
T,30.28,*,T190315P00021000,,put,03/15/2019,03/13/2019,21,0.01,0,0.01,0,80,80
T,30.28,*,T190315C00022000,,call,03/15/2019,03/13/2019,22,7.8,8.25,8.35,0,57,57
T,30.28,*,T190315P00022000,,put,03/15/2019,03/13/2019,22,0.01,0,0.01,0,41,41
T,30.28,*,T190315C00022500,,call,03/15/2019,03/13/2019,22.5,7.55,7.75,7.85,0,32,32
T,30.28,*,T190315P00022500,,put,03/15/2019,03/13/2019,22.5,0,0,0.01,0,0,0
T,30.28,*,T190315C00023000,,call,03/15/2019,03/13/2019,23,6.45,7.25,7.35,0,1,1
T,30.28,*,T190315P00023000,,put,03/15/2019,03/13/2019,23,0.01,0,0.01,0,226,226
T,30.28,*,T190315C00023500,,call,03/15/2019,03/13/2019,23.5,7.35,6.75,6.85,0,44,44
T,30.28,*,T190315P00023500,,put,03/15/2019,03/13/2019,23.5,0,0,0.01,0,0,0
T,30.28,*,T190315C00024000,,call,03/15/2019,03/13/2019,24,6.81,6.25,6.35,0,7,7
T,30.28,*,T190315P00024000,,put,03/15/2019,03/13/2019,24,0.01,0,0.01,0,240,240
