UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
T,30.8,*,T190322C00022000,,call,03/22/2019,03/18/2019,22,0,8.5,9.1,0,0,0
T,30.8,*,T190322P00022000,,put,03/22/2019,03/18/2019,22,0.01,0,0.02,0,31,31
T,30.8,*,T190322C00022500,,call,03/22/2019,03/18/2019,22.5,0,8,8.5,0,0,0
T,30.8,*,T190322P00022500,,put,03/22/2019,03/18/2019,22.5,0,0,0.02,0,0,0
T,30.8,*,T190322C00023000,,call,03/22/2019,03/18/2019,23,0,7.5,8.1,0,0,0
T,30.8,*,T190322P00023000,,put,03/22/2019,03/18/2019,23,0,0,0.02,0,0,0
T,30.8,*,T190322C00023500,,call,03/22/2019,03/18/2019,23.5,0,7.1,7.6,0,0,0
T,30.8,*,T190322P00023500,,put,03/22/2019,03/18/2019,23.5,0,0,0.02,0,0,0
T,30.8,*,T190322C00024000,,call,03/22/2019,03/18/2019,24,7.05,6.7,6.9,0,20,20
T,30.8,*,T190322P00024000,,put,03/22/2019,03/18/2019,24,0,0,0.02,0,0,0
T,30.8,*,T190322C00024500,,call,03/22/2019,03/18/2019,24.5,5.55,6.2,6.5,0,24,24
T,30.8,*,T190322P00024500,,put,03/22/2019,03/18/2019,24.5,0,0,0.02,0,0,0
T,30.8,*,T190322C00025000,,call,03/22/2019,03/18/2019,25,5.6,5.7,5.9,0,2,2
T,30.8,*,T190322P00025000,,put,03/22/2019,03/18/2019,25,0.01,0,0.02,0,11,11
T,30.8,*,T190322C00025500,,call,03/22/2019,03/18/2019,25.5,5.04,5.2,5.55,0,50,50
T,30.8,*,T190322P00025500,,put,03/22/2019,03/18/2019,25.5,0.06,0,0.02,0,1,1
T,30.8,*,T190322C00026000,,call,03/22/2019,03/18/2019,26,4.52,4.7,4.9,0,104,104
T,30.8,*,T190322P00026000,,put,03/22/2019,03/18/2019,26,0.02,0,0.02,0,15,15
T,30.8,*,T190322C00026500,,call,03/22/2019,03/18/2019,26.5,3.9,4.25,4.35,0,111,111
T,30.8,*,T190322P00026500,,put,03/22/2019,03/18/2019,26.5,0.02,0,0.02,0,27,27
T,30.8,*,T190322C00027000,,call,03/22/2019,03/18/2019,27,3.31,3.7,3.9,0,18,18
T,30.8,*,T190322P00027000,,put,03/22/2019,03/18/2019,27,0.01,0,0.02,0,84,84
T,30.8,*,T190322C00027500,,call,03/22/2019,03/18/2019,27.5,3.25,3.25,3.35,51,846,795
T,30.8,*,T190322P00027500,,put,03/22/2019,03/18/2019,27.5,0.01,0,0.02,3,311,311
T,30.8,*,T190322C00028000,,call,03/22/2019,03/18/2019,28,2.77,2.79,2.86,181,403,343
T,30.8,*,T190322P00028000,,put,03/22/2019,03/18/2019,28,0.02,0,0.01,0,2085,2085
T,30.8,*,T190322C00028500,,call,03/22/2019,03/18/2019,28.5,2.23,2.29,2.38,381,191,368
T,30.8,*,T190322P00028500,,put,03/22/2019,03/18/2019,28.5,0.01,0,0.01,184,549,706
T,30.8,*,T190322C00029000,,call,03/22/2019,03/18/2019,29,1.73,1.79,1.83,46,272,280
T,30.8,*,T190322P00029000,,put,03/22/2019,03/18/2019,29,0.01,0,0.01,26,1255,1255
T,30.8,*,T190322C00029500,,call,03/22/2019,03/18/2019,29.5,1.33,1.3,1.34,414,838,748
T,30.8,*,T190322P00029500,,put,03/22/2019,03/18/2019,29.5,0.02,0.01,0.02,88,1181,1224
T,30.8,*,T190322C00030000,,call,03/22/2019,03/18/2019,30,0.84,0.82,0.85,1553,2187,2604
T,30.8,*,T190322P00030000,,put,03/22/2019,03/18/2019,30,0.04,0.04,0.05,804,2873,3049
T,30.8,*,T190322C00030500,,call,03/22/2019,03/18/2019,30.5,0.4,0.39,0.41,1894,4432,4360
T,30.8,*,T190322P00030500,,put,03/22/2019,03/18/2019,30.5,0.11,0.09,0.11,1857,2290,3015
T,30.8,*,T190322C00031000,,call,03/22/2019,03/18/2019,31,0.11,0.1,0.12,4315,5153,7029
T,30.8,*,T190322P00031000,,put,03/22/2019,03/18/2019,31,0.36,0.3,0.32,634,3936,4412
T,30.8,*,T190322C00031500,,call,03/22/2019,03/18/2019,31.5,0.02,0.02,0.03,586,3767,4129
T,30.8,*,T190322P00031500,,put,03/22/2019,03/18/2019,31.5,0.71,0.71,0.73,512,230,570
T,30.8,*,T190322C00032000,,call,03/22/2019,03/18/2019,32,0.01,0,0.01,183,4629,4673
T,30.8,*,T190322P00032000,,put,03/22/2019,03/18/2019,32,1.21,1.19,1.22,139,274,391
T,30.8,*,T190322C00032500,,call,03/22/2019,03/18/2019,32.5,0.02,0,0.01,0,401,401
T,30.8,*,T190322P00032500,,put,03/22/2019,03/18/2019,32.5,1.82,1.65,1.73,126,164,146
T,30.8,*,T190322C00033000,,call,03/22/2019,03/18/2019,33,0.01,0,0.01,1,126,127
T,30.8,*,T190322P00033000,,put,03/22/2019,03/18/2019,33,2.6,2.16,2.23,0,23,23
T,30.8,*,T190322C00033500,,call,03/22/2019,03/18/2019,33.5,0.01,0,0.01,0,20,20
T,30.8,*,T190322P00033500,,put,03/22/2019,03/18/2019,33.5,0,2.65,2.73,0,0,0
T,30.8,*,T190322C00034000,,call,03/22/2019,03/18/2019,34,0.01,0,0.01,0,120,120
T,30.8,*,T190322P00034000,,put,03/22/2019,03/18/2019,34,0,3.1,3.25,0,0,0
T,30.8,*,T190322C00034500,,call,03/22/2019,03/18/2019,34.5,0.02,0,0.02,0,150,150
T,30.8,*,T190322P00034500,,put,03/22/2019,03/18/2019,34.5,0,3.6,3.75,0,0,0
T,30.8,*,T190322C00035000,,call,03/22/2019,03/18/2019,35,0,0,0.02,0,0,0
T,30.8,*,T190322P00035000,,put,03/22/2019,03/18/2019,35,0,4.1,4.25,0,0,0
T,30.8,*,T190322C00035500,,call,03/22/2019,03/18/2019,35.5,0,0,0.02,0,0,0
T,30.8,*,T190322P00035500,,put,03/22/2019,03/18/2019,35.5,0,4.6,4.75,0,0,0
T,30.8,*,T190322C00036000,,call,03/22/2019,03/18/2019,36,0,0,0.02,0,10,10
