UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
T,31.39,*,T190329C00021000,,call,03/29/2019,03/26/2019,21,0,8,12.5,0,0,0
T,31.39,*,T190329P00021000,,put,03/29/2019,03/26/2019,21,0,0,0.02,0,0,0
T,31.39,*,T190329C00022000,,call,03/29/2019,03/26/2019,22,0,7,11.5,0,0,0
T,31.39,*,T190329P00022000,,put,03/29/2019,03/26/2019,22,0,0,0.02,0,0,0
T,31.39,*,T190329C00022500,,call,03/29/2019,03/26/2019,22.5,0,6.65,10.9,0,0,0
T,31.39,*,T190329P00022500,,put,03/29/2019,03/26/2019,22.5,0.03,0,0.02,0,2,2
T,31.39,*,T190329C00023000,,call,03/29/2019,03/26/2019,23,0,6.1,10.45,0,0,0
T,31.39,*,T190329P00023000,,put,03/29/2019,03/26/2019,23,0,0,0.02,0,0,0
T,31.39,*,T190329C00023500,,call,03/29/2019,03/26/2019,23.5,6.85,6.1,9.4,0,1,1
T,31.39,*,T190329P00023500,,put,03/29/2019,03/26/2019,23.5,0.01,0,0.02,0,20,20
T,31.39,*,T190329C00024000,,call,03/29/2019,03/26/2019,24,0,5.35,9.5,0,0,0
T,31.39,*,T190329P00024000,,put,03/29/2019,03/26/2019,24,0.05,0,0.02,0,5,5
T,31.39,*,T190329C00024500,,call,03/29/2019,03/26/2019,24.5,0,4.75,8.9,0,0,0
T,31.39,*,T190329P00024500,,put,03/29/2019,03/26/2019,24.5,0,0,0.02,0,0,0
T,31.39,*,T190329C00025000,,call,03/29/2019,03/26/2019,25,0,4.25,7.75,0,0,0
T,31.39,*,T190329P00025000,,put,03/29/2019,03/26/2019,25,0.04,0,0.02,0,7,7
T,31.39,*,T190329C00025500,,call,03/29/2019,03/26/2019,25.5,5.25,3.75,7.6,0,3,3
T,31.39,*,T190329P00025500,,put,03/29/2019,03/26/2019,25.5,0.02,0,0.02,0,7,7
T,31.39,*,T190329C00026000,,call,03/29/2019,03/26/2019,26,5.01,5.2,7.4,0,4,4
T,31.39,*,T190329P00026000,,put,03/29/2019,03/26/2019,26,0.02,0,0.02,0,38,38
T,31.39,*,T190329C00026500,,call,03/29/2019,03/26/2019,26.5,3.8,4.7,6.85,0,16,16
T,31.39,*,T190329P00026500,,put,03/29/2019,03/26/2019,26.5,0,0,0.02,0,568,568
T,31.39,*,T190329C00027000,,call,03/29/2019,03/26/2019,27,4.25,2.26,4.65,2,33,33
T,31.39,*,T190329P00027000,,put,03/29/2019,03/26/2019,27,0.01,0,0.01,0,167,167
T,31.39,*,T190329C00027500,,call,03/29/2019,03/26/2019,27.5,3.3,1.76,5.85,0,56,56
T,31.39,*,T190329P00027500,,put,03/29/2019,03/26/2019,27.5,0.02,0,0.01,0,55,55
T,31.39,*,T190329C00028000,,call,03/29/2019,03/26/2019,28,3.35,3.35,3.45,38,771,770
T,31.39,*,T190329P00028000,,put,03/29/2019,03/26/2019,28,0.01,0,0.01,66,781,781
T,31.39,*,T190329C00028500,,call,03/29/2019,03/26/2019,28.5,2.23,2.87,2.92,0,125,125
T,31.39,*,T190329P00028500,,put,03/29/2019,03/26/2019,28.5,0.01,0,0.01,0,622,622
T,31.39,*,T190329C00029000,,call,03/29/2019,03/26/2019,29,2.27,2.37,3,187,436,413
T,31.39,*,T190329P00029000,,put,03/29/2019,03/26/2019,29,0.01,0,0.01,171,1177,1299
T,31.39,*,T190329C00029500,,call,03/29/2019,03/26/2019,29.5,1.9,1.87,1.91,61,404,420
T,31.39,*,T190329P00029500,,put,03/29/2019,03/26/2019,29.5,0.02,0,0.02,11,1896,1895
T,31.39,*,T190329C00030000,,call,03/29/2019,03/26/2019,30,1.2,1.38,1.43,473,2129,2021
T,31.39,*,T190329P00030000,,put,03/29/2019,03/26/2019,30,0.02,0.01,0.02,132,3370,3382
T,31.39,*,T190329C00030500,,call,03/29/2019,03/26/2019,30.5,0.92,0.9,0.93,933,2866,2449
T,31.39,*,T190329P00030500,,put,03/29/2019,03/26/2019,30.5,0.03,0.02,0.03,528,4782,4680
T,31.39,*,T190329C00031000,,call,03/29/2019,03/26/2019,31,0.45,0.45,0.47,4413,9175,9565
T,31.39,*,T190329P00031000,,put,03/29/2019,03/26/2019,31,0.08,0.07,0.08,1684,5163,5772
T,31.39,*,T190329C00031500,,call,03/29/2019,03/26/2019,31.5,0.15,0.14,0.15,4344,9190,9889
T,31.39,*,T190329P00031500,,put,03/29/2019,03/26/2019,31.5,0.25,0.24,0.27,1590,527,1257
T,31.39,*,T190329C00032000,,call,03/29/2019,03/26/2019,32,0.03,0.02,0.03,3567,9202,10438
T,31.39,*,T190329P00032000,,put,03/29/2019,03/26/2019,32,0.87,0.62,0.65,76,836,856
T,31.39,*,T190329C00032500,,call,03/29/2019,03/26/2019,32.5,0.01,0,0.02,86,1856,1937
T,31.39,*,T190329P00032500,,put,03/29/2019,03/26/2019,32.5,1.37,0.98,1.14,5,0,5
T,31.39,*,T190329C00033000,,call,03/29/2019,03/26/2019,33,0.01,0,0.02,3,339,336
T,31.39,*,T190329P00033000,,put,03/29/2019,03/26/2019,33,2.21,1.36,1.64,0,0,0
T,31.39,*,T190329C00033500,,call,03/29/2019,03/26/2019,33.5,0.01,0,0.01,0,304,304
T,31.39,*,T190329P00033500,,put,03/29/2019,03/26/2019,33.5,2.49,1.93,2.14,0,0,0
T,31.39,*,T190329C00034000,,call,03/29/2019,03/26/2019,34,0.01,0,0.02,0,67,67
T,31.39,*,T190329P00034000,,put,03/29/2019,03/26/2019,34,4.95,2.46,2.64,0,0,0
T,31.39,*,T190329C00034500,,call,03/29/2019,03/26/2019,34.5,0,0,0.02,0,0,0
T,31.39,*,T190329P00034500,,put,03/29/2019,03/26/2019,34.5,3.85,1.77,3.15,0,0,0
T,31.39,*,T190329C00035000,,call,03/29/2019,03/26/2019,35,0.02,0,0.01,0,10,10
T,31.39,*,T190329P00035000,,put,03/29/2019,03/26/2019,35,4,1.65,3.75,0,13,13
T,31.39,*,T190329C00035500,,call,03/29/2019,03/26/2019,35.5,0,0,0.02,0,0,0
T,31.39,*,T190329P00035500,,put,03/29/2019,03/26/2019,35.5,0,3.3,4.25,0,0,0
T,31.39,*,T190329C00036000,,call,03/29/2019,03/26/2019,36,0,0,0.02,0,0,0
T,31.39,*,T190329P00036000,,put,03/29/2019,03/26/2019,36,0,2.64,4.75,0,0,0
T,31.39,*,T190329C00036500,,call,03/29/2019,03/26/2019,36.5,0,0,0.02,0,0,0
T,31.39,*,T190329P00036500,,put,03/29/2019,03/26/2019,36.5,5.95,3.15,5.25,0,0,0
T,31.39,*,T190329C00037000,,call,03/29/2019,03/26/2019,37,0,0,0.03,0,0,0
T,31.39,*,T190329P00037000,,put,03/29/2019,03/26/2019,37,0,3.65,5.75,0,0,0
T,31.39,*,T190329C00037500,,call,03/29/2019,03/26/2019,37.5,0,0,0.03,0,0,0
T,31.39,*,T190329P00037500,,put,03/29/2019,03/26/2019,37.5,7,4.15,6.25,0,0,0
T,31.39,*,T190329C00038000,,call,03/29/2019,03/26/2019,38,0,0,0.03,0,0,0
T,31.39,*,T190329P00038000,,put,03/29/2019,03/26/2019,38,0,4.65,7.95,0,0,0
T,31.39,*,T190329C00039000,,call,03/29/2019,03/26/2019,39,0,0,0.02,0,0,0
T,31.39,*,T190329P00039000,,put,03/29/2019,03/26/2019,39,0,5.35,9.8,0,0,0
T,31.39,*,T190405C00023000,,call,04/05/2019,03/26/2019,23,0,8.15,8.65,0,0,0
T,31.39,*,T190405P00023000,,put,04/05/2019,03/26/2019,23,0,0,0.02,0,0,0
T,31.39,*,T190405C00024000,,call,04/05/2019,03/26/2019,24,6.3,7.1,7.65,0,27,27
T,31.39,*,T190405P00024000,,put,04/05/2019,03/26/2019,24,0.01,0,0.02,0,10,0
T,31.39,*,T190405C00024500,,call,04/05/2019,03/26/2019,24.5,0,6.65,7.15,0,0,0
T,31.39,*,T190405P00024500,,put,04/05/2019,03/26/2019,24.5,0.01,0,0.02,0,10,10
T,31.39,*,T190405C00025000,,call,04/05/2019,03/26/2019,25,6.36,6.2,6.55,5,20,15
T,31.39,*,T190405P00025000,,put,04/05/2019,03/26/2019,25,0.01,0,0.02,0,10,10
T,31.39,*,T190405C00025500,,call,04/05/2019,03/26/2019,25.5,0,5.6,6.15,0,0,0
T,31.39,*,T190405P00025500,,put,04/05/2019,03/26/2019,25.5,0,0,0.02,0,0,0
T,31.39,*,T190405C00026000,,call,04/05/2019,03/26/2019,26,5.25,5.1,5.65,0,10,10
T,31.39,*,T190405P00026000,,put,04/05/2019,03/26/2019,26,0,0,0.02,0,0,0
T,31.39,*,T190405C00026500,,call,04/05/2019,03/26/2019,26.5,0,4.65,5.15,0,0,0
T,31.39,*,T190405P00026500,,put,04/05/2019,03/26/2019,26.5,0.01,0,0.02,1,489,489
T,31.39,*,T190405C00027000,,call,04/05/2019,03/26/2019,27,4.35,4.25,4.65,0,4,4
T,31.39,*,T190405P00027000,,put,04/05/2019,03/26/2019,27,0.01,0,0.02,30,68,98
T,31.39,*,T190405C00027500,,call,04/05/2019,03/26/2019,27.5,3.05,3.75,4.15,0,54,54
T,31.39,*,T190405P00027500,,put,04/05/2019,03/26/2019,27.5,0.01,0,0.03,30,44,74
T,31.39,*,T190405C00028000,,call,04/05/2019,03/26/2019,28,2.89,3.1,3.65,0,200,200
T,31.39,*,T190405P00028000,,put,04/05/2019,03/26/2019,28,0.02,0.01,0.04,646,681,1121
T,31.39,*,T190405C00028500,,call,04/05/2019,03/26/2019,28.5,2.22,2.85,3.2,0,10,10
T,31.39,*,T190405P00028500,,put,04/05/2019,03/26/2019,28.5,0.01,0,0.04,1,218,218
T,31.39,*,T190405C00029000,,call,04/05/2019,03/26/2019,29,2.26,2.4,2.44,132,335,387
T,31.39,*,T190405P00029000,,put,04/05/2019,03/26/2019,29,0.03,0,0.05,6,624,618
T,31.39,*,T190405C00029500,,call,04/05/2019,03/26/2019,29.5,1.93,1.91,1.94,1899,2270,1574
T,31.39,*,T190405P00029500,,put,04/05/2019,03/26/2019,29.5,0.04,0.02,0.04,2,1874,1872
T,31.39,*,T190405C00030000,,call,04/05/2019,03/26/2019,30,1.4,1.43,1.47,199,1013,984
T,31.39,*,T190405P00030000,,put,04/05/2019,03/26/2019,30,0.06,0.05,0.06,206,2497,2613
T,31.39,*,T190405C00030500,,call,04/05/2019,03/26/2019,30.5,1,0.98,1.01,233,2328,2421
T,31.39,*,T190405P00030500,,put,04/05/2019,03/26/2019,30.5,0.11,0.09,0.1,705,2724,2838
T,31.39,*,T190405C00031000,,call,04/05/2019,03/26/2019,31,0.57,0.58,0.6,1008,3569,3939
T,31.39,*,T190405P00031000,,put,04/05/2019,03/26/2019,31,0.19,0.18,0.2,1375,2449,3095
T,31.39,*,T190405C00031500,,call,04/05/2019,03/26/2019,31.5,0.28,0.28,0.3,1611,3836,3879
T,31.39,*,T190405P00031500,,put,04/05/2019,03/26/2019,31.5,0.38,0.37,0.39,343,175,340
T,31.39,*,T190405C00032000,,call,04/05/2019,03/26/2019,32,0.1,0.1,0.11,881,1285,1564
T,31.39,*,T190405P00032000,,put,04/05/2019,03/26/2019,32,0.83,0.69,0.72,149,146,224
T,31.39,*,T190405C00032500,,call,04/05/2019,03/26/2019,32.5,0.02,0.02,0.03,32,658,670
T,31.39,*,T190405P00032500,,put,04/05/2019,03/26/2019,32.5,1.19,1.12,1.16,61,53,84
T,31.39,*,T190405C00033000,,call,04/05/2019,03/26/2019,33,0.02,0,0.01,0,241,241
T,31.39,*,T190405P00033000,,put,04/05/2019,03/26/2019,33,1.76,1.6,1.64,147,0,60
T,31.39,*,T190405C00033500,,call,04/05/2019,03/26/2019,33.5,0.03,0,0.03,0,36,36
T,31.39,*,T190405P00033500,,put,04/05/2019,03/26/2019,33.5,2.71,2.04,2.15,0,0,0
T,31.39,*,T190405C00034000,,call,04/05/2019,03/26/2019,34,0.03,0,0.01,0,20,20
T,31.39,*,T190405P00034000,,put,04/05/2019,03/26/2019,34,3.24,2.53,2.64,0,20,20
T,31.39,*,T190405C00034500,,call,04/05/2019,03/26/2019,34.5,0.02,0,0.02,0,5,5
T,31.39,*,T190405P00034500,,put,04/05/2019,03/26/2019,34.5,0,3,3.15,0,0,0
T,31.39,*,T190405C00035000,,call,04/05/2019,03/26/2019,35,0,0,0.01,0,0,0
T,31.39,*,T190405P00035000,,put,04/05/2019,03/26/2019,35,0,3.5,3.75,0,0,0
T,31.39,*,T190405C00035500,,call,04/05/2019,03/26/2019,35.5,0,0,0.02,0,0,0
T,31.39,*,T190405P00035500,,put,04/05/2019,03/26/2019,35.5,4.8,4.05,4.2,0,10,10
T,31.39,*,T190405C00036000,,call,04/05/2019,03/26/2019,36,0,0,0.02,0,0,0
T,31.39,*,T190405P00036000,,put,04/05/2019,03/26/2019,36,4.81,4.45,4.8,0,1,1
T,31.39,*,T190405C00036500,,call,04/05/2019,03/26/2019,36.5,0,0,0.02,0,0,0
T,31.39,*,T190405P00036500,,put,04/05/2019,03/26/2019,36.5,0,5,5.25,0,0,0
T,31.39,*,T190405C00037000,,call,04/05/2019,03/26/2019,37,0,0,0.02,0,0,0
T,31.39,*,T190405P00037000,,put,04/05/2019,03/26/2019,37,0,5.55,5.7,0,0,0
T,31.39,*,T190405C00037500,,call,04/05/2019,03/26/2019,37.5,0,0,0.02,0,0,0
