UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
T,30.82,*,T190301C00022000,,call,03/01/2019,03/01/2019,22,0,8.05,9.85,0,0,0
T,30.82,*,T190301P00022000,,put,03/01/2019,03/01/2019,22,0.01,0,0.02,0,5,0
T,30.82,*,T190301C00023000,,call,03/01/2019,03/01/2019,23,6.79,7.75,8.1,0,1,0
T,30.82,*,T190301P00023000,,put,03/01/2019,03/01/2019,23,0.07,0,0.01,0,17,0
T,30.82,*,T190301C00023500,,call,03/01/2019,03/01/2019,23.5,0,7.05,8.35,0,0,0
T,30.82,*,T190301P00023500,,put,03/01/2019,03/01/2019,23.5,0,0,0.02,0,0,0
T,30.82,*,T190301C00024000,,call,03/01/2019,03/01/2019,24,0,6.55,8.25,0,0,0
T,30.82,*,T190301P00024000,,put,03/01/2019,03/01/2019,24,0,0,0.02,0,0,0
T,30.82,*,T190301C00024500,,call,03/01/2019,03/01/2019,24.5,0,6.05,6.85,0,0,0
T,30.82,*,T190301P00024500,,put,03/01/2019,03/01/2019,24.5,0.01,0,0.02,0,8,0
T,30.82,*,T190301C00025000,,call,03/01/2019,03/01/2019,25,0,5.8,6.1,0,0,0
T,30.82,*,T190301P00025000,,put,03/01/2019,03/01/2019,25,0.02,0,0.01,0,80,0
T,30.82,*,T190301C00025500,,call,03/01/2019,03/01/2019,25.5,5.57,5.3,5.6,0,10,0
T,30.82,*,T190301P00025500,,put,03/01/2019,03/01/2019,25.5,0.05,0,0.02,0,6,0
T,30.82,*,T190301C00026000,,call,03/01/2019,03/01/2019,26,5.18,4.8,4.95,2,13,0
T,30.82,*,T190301P00026000,,put,03/01/2019,03/01/2019,26,0.02,0,0.02,0,17,0
T,30.82,*,T190301C00026500,,call,03/01/2019,03/01/2019,26.5,3.35,4.25,4.6,0,2,0
T,30.82,*,T190301P00026500,,put,03/01/2019,03/01/2019,26.5,0.03,0,0.01,0,731,0
T,30.82,*,T190301C00027000,,call,03/01/2019,03/01/2019,27,4.07,3.8,3.95,0,22,0
T,30.82,*,T190301P00027000,,put,03/01/2019,03/01/2019,27,0.01,0,0.01,0,113,0
T,30.82,*,T190301C00027500,,call,03/01/2019,03/01/2019,27.5,3.2,3.3,3.45,0,14,0
T,30.82,*,T190301P00027500,,put,03/01/2019,03/01/2019,27.5,0.01,0,0.01,0,794,0
T,30.82,*,T190301C00028000,,call,03/01/2019,03/01/2019,28,2.9,2.81,2.87,13,68,0
T,30.82,*,T190301P00028000,,put,03/01/2019,03/01/2019,28,0.01,0,0.01,0,724,0
T,30.82,*,T190301C00028500,,call,03/01/2019,03/01/2019,28.5,2.67,2.31,2.38,28,335,0
T,30.82,*,T190301P00028500,,put,03/01/2019,03/01/2019,28.5,0.02,0,0.02,0,471,0
