UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
T,30.63,*,T190315C00015000,,call,03/15/2019,03/12/2019,15,15.65,15.35,15.7,4,66,70
T,30.63,*,T190315P00015000,,put,03/15/2019,03/12/2019,15,0,0,0.01,0,0,0
T,30.63,*,T190315C00016000,,call,03/15/2019,03/12/2019,16,14.95,14.1,14.7,0,46,46
T,30.63,*,T190315P00016000,,put,03/15/2019,03/12/2019,16,0.01,0,0.01,0,2,2
T,30.63,*,T190315C00017000,,call,03/15/2019,03/12/2019,17,14.15,13.35,13.7,0,2,2
T,30.63,*,T190315P00017000,,put,03/15/2019,03/12/2019,17,0,0,0.01,0,0,0
T,30.63,*,T190315C00018000,,call,03/15/2019,03/12/2019,18,13.2,12.1,12.7,0,4,4
T,30.63,*,T190315P00018000,,put,03/15/2019,03/12/2019,18,0,0,0.01,0,0,0
T,30.63,*,T190315C00019000,,call,03/15/2019,03/12/2019,19,0,10.4,11.7,0,0,0
T,30.63,*,T190315P00019000,,put,03/15/2019,03/12/2019,19,0,0,0.01,0,0,0
T,30.63,*,T190315C00020000,,call,03/15/2019,03/12/2019,20,10.3,10.35,10.7,0,31,31
T,30.63,*,T190315P00020000,,put,03/15/2019,03/12/2019,20,0.01,0,0.01,0,69,69
T,30.63,*,T190315C00021000,,call,03/15/2019,03/12/2019,21,10,9.1,9.7,0,30,30
T,30.63,*,T190315P00021000,,put,03/15/2019,03/12/2019,21,0.01,0,0.01,0,80,80
T,30.63,*,T190315C00022000,,call,03/15/2019,03/12/2019,22,7.8,8.35,8.7,0,57,57
T,30.63,*,T190315P00022000,,put,03/15/2019,03/12/2019,22,0.01,0,0.01,0,41,41
T,30.63,*,T190315C00022500,,call,03/15/2019,03/12/2019,22.5,7.55,7.6,8.2,0,32,32
T,30.63,*,T190315P00022500,,put,03/15/2019,03/12/2019,22.5,0,0,0.01,0,0,0
T,30.63,*,T190315C00023000,,call,03/15/2019,03/12/2019,23,6.45,7.35,7.95,0,1,1
T,30.63,*,T190315P00023000,,put,03/15/2019,03/12/2019,23,0.01,0,0.01,0,226,226
T,30.63,*,T190315C00023500,,call,03/15/2019,03/12/2019,23.5,7.35,6.85,7.2,10,34,44
