UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
T,30.51,*,T190322C00022000,,call,03/22/2019,03/20/2019,22,0,6.3,10.8,0,0,0
T,30.51,*,T190322P00022000,,put,03/22/2019,03/20/2019,22,0.01,0,0.02,0,31,31
T,30.51,*,T190322C00022500,,call,03/22/2019,03/20/2019,22.5,0,5.8,10.3,0,0,0
T,30.51,*,T190322P00022500,,put,03/22/2019,03/20/2019,22.5,0,0,2.13,0,0,0
T,30.51,*,T190322C00023000,,call,03/22/2019,03/20/2019,23,0,5.3,9.8,0,0,0
T,30.51,*,T190322P00023000,,put,03/22/2019,03/20/2019,23,0,0,0.02,0,0,0
T,30.51,*,T190322C00023500,,call,03/22/2019,03/20/2019,23.5,7.2,6.85,7.15,0,6,6
T,30.51,*,T190322P00023500,,put,03/22/2019,03/20/2019,23.5,0,0,2.13,0,0,0
T,30.51,*,T190322C00024000,,call,03/22/2019,03/20/2019,24,0,5.3,6.7,0,20,20
T,30.51,*,T190322P00024000,,put,03/22/2019,03/20/2019,24,0,0,0.02,0,0,0
T,30.51,*,T190322C00024500,,call,03/22/2019,03/20/2019,24.5,5.55,5.5,6.3,0,24,24
T,30.51,*,T190322P00024500,,put,03/22/2019,03/20/2019,24.5,0,0,0.03,0,0,0
T,30.51,*,T190322C00025000,,call,03/22/2019,03/20/2019,25,5.6,5.2,5.7,0,2,2
T,30.51,*,T190322P00025000,,put,03/22/2019,03/20/2019,25,0.01,0,0.02,0,11,11
T,30.51,*,T190322C00025500,,call,03/22/2019,03/20/2019,25.5,5.04,4.7,5.55,0,50,50
T,30.51,*,T190322P00025500,,put,03/22/2019,03/20/2019,25.5,0.06,0,0.03,0,1,1
T,30.51,*,T190322C00026000,,call,03/22/2019,03/20/2019,26,4.52,4.45,4.6,0,104,104
T,30.51,*,T190322P00026000,,put,03/22/2019,03/20/2019,26,0.02,0,0.02,0,15,15
T,30.51,*,T190322C00026500,,call,03/22/2019,03/20/2019,26.5,3.9,3.95,4.2,0,111,111
T,30.51,*,T190322P00026500,,put,03/22/2019,03/20/2019,26.5,0.02,0,0.03,0,27,27
T,30.51,*,T190322C00027000,,call,03/22/2019,03/20/2019,27,3.65,2.35,3.75,0,31,31
T,30.51,*,T190322P00027000,,put,03/22/2019,03/20/2019,27,0.01,0,0.02,0,84,84
T,30.51,*,T190322C00027500,,call,03/22/2019,03/20/2019,27.5,3.25,2.95,3.1,0,795,795
T,30.51,*,T190322P00027500,,put,03/22/2019,03/20/2019,27.5,0.01,0,0.01,0,311,311
T,30.51,*,T190322C00028000,,call,03/22/2019,03/20/2019,28,2.6,2.5,2.58,0,353,353
T,30.51,*,T190322P00028000,,put,03/22/2019,03/20/2019,28,0.01,0,0.01,0,2085,2085
T,30.51,*,T190322C00028500,,call,03/22/2019,03/20/2019,28.5,2.09,1.98,2.09,18,338,338
T,30.51,*,T190322P00028500,,put,03/22/2019,03/20/2019,28.5,0.01,0,0.01,27,706,717
T,30.51,*,T190322C00029000,,call,03/22/2019,03/20/2019,29,1.72,1.47,1.56,48,356,341
T,30.51,*,T190322P00029000,,put,03/22/2019,03/20/2019,29,0.02,0,0.01,136,1187,1052
T,30.51,*,T190322C00029500,,call,03/22/2019,03/20/2019,29.5,1.23,1.01,1.06,2,716,716
T,30.51,*,T190322P00029500,,put,03/22/2019,03/20/2019,29.5,0.01,0,0.02,281,1262,1432
T,30.51,*,T190322C00030000,,call,03/22/2019,03/20/2019,30,0.58,0.54,0.57,676,2876,2657
T,30.51,*,T190322P00030000,,put,03/22/2019,03/20/2019,30,0.03,0.02,0.04,576,3311,3620
T,30.51,*,T190322C00030500,,call,03/22/2019,03/20/2019,30.5,0.17,0.16,0.18,1410,4287,4571
T,30.51,*,T190322P00030500,,put,03/22/2019,03/20/2019,30.5,0.14,0.14,0.16,1348,4122,4231
T,30.51,*,T190322C00031000,,call,03/22/2019,03/20/2019,31,0.03,0.02,0.03,3222,7957,8876
T,30.51,*,T190322P00031000,,put,03/22/2019,03/20/2019,31,0.48,0.48,0.51,783,4650,4637
T,30.51,*,T190322C00031500,,call,03/22/2019,03/20/2019,31.5,0.01,0,0.01,67,4286,4292
T,30.51,*,T190322P00031500,,put,03/22/2019,03/20/2019,31.5,0.8,0.94,1.01,155,613,418
T,30.51,*,T190322C00032000,,call,03/22/2019,03/20/2019,32,0.02,0,0.01,0,4649,4649
T,30.51,*,T190322P00032000,,put,03/22/2019,03/20/2019,32,1.49,1.44,1.53,1,389,388
T,30.51,*,T190322C00032500,,call,03/22/2019,03/20/2019,32.5,0.01,0,0.01,0,411,411
