UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
T,30.28,*,T190315C00015000,,call,03/15/2019,03/14/2019,15,15.35,15.15,15.4,0,105,67
T,30.28,*,T190315P00015000,,put,03/15/2019,03/14/2019,15,0,0,0.02,0,0,0
T,30.28,*,T190315C00016000,,call,03/15/2019,03/14/2019,16,14.95,14.2,14.4,0,46,46
T,30.28,*,T190315P00016000,,put,03/15/2019,03/14/2019,16,0.01,0,0.02,0,2,2
T,30.28,*,T190315C00017000,,call,03/15/2019,03/14/2019,17,13.35,13.15,13.4,0,6,6
T,30.28,*,T190315P00017000,,put,03/15/2019,03/14/2019,17,0,0,0.02,0,0,0
T,30.28,*,T190315C00018000,,call,03/15/2019,03/14/2019,18,13.2,12.2,12.4,0,4,4
T,30.28,*,T190315P00018000,,put,03/15/2019,03/14/2019,18,0,0,0.02,0,0,0
T,30.28,*,T190315C00019000,,call,03/15/2019,03/14/2019,19,0,11.05,11.45,0,0,0
T,30.28,*,T190315P00019000,,put,03/15/2019,03/14/2019,19,0,0,0.02,0,0,0
T,30.28,*,T190315C00020000,,call,03/15/2019,03/14/2019,20,10.3,10.2,10.4,0,31,31
T,30.28,*,T190315P00020000,,put,03/15/2019,03/14/2019,20,0.01,0,0.02,0,69,69
T,30.28,*,T190315C00021000,,call,03/15/2019,03/14/2019,21,10,9.15,9.4,0,30,30
T,30.28,*,T190315P00021000,,put,03/15/2019,03/14/2019,21,0.01,0,0.02,0,80,80
T,30.28,*,T190315C00022000,,call,03/15/2019,03/14/2019,22,7.8,8.2,8.35,0,57,57
T,30.28,*,T190315P00022000,,put,03/15/2019,03/14/2019,22,0.01,0,0.01,0,41,41
T,30.28,*,T190315C00022500,,call,03/15/2019,03/14/2019,22.5,7.55,7.7,7.85,0,32,32
T,30.28,*,T190315P00022500,,put,03/15/2019,03/14/2019,22.5,0,0,0.02,0,0,0
T,30.28,*,T190315C00023000,,call,03/15/2019,03/14/2019,23,6.45,7.15,7.4,0,1,1
T,30.28,*,T190315P00023000,,put,03/15/2019,03/14/2019,23,0,0,0.01,0,226,226
T,30.28,*,T190315C00023500,,call,03/15/2019,03/14/2019,23.5,7.35,6.65,6.9,0,44,44
T,30.28,*,T190315P00023500,,put,03/15/2019,03/14/2019,23.5,0,0,0.02,0,0,0
T,30.28,*,T190315C00024000,,call,03/15/2019,03/14/2019,24,6.81,6.15,6.4,0,7,7
T,30.28,*,T190315P00024000,,put,03/15/2019,03/14/2019,24,0.01,0,0.01,0,240,240
T,30.28,*,T190315C00024500,,call,03/15/2019,03/14/2019,24.5,6.7,5.65,5.9,0,34,34
T,30.28,*,T190315P00024500,,put,03/15/2019,03/14/2019,24.5,0,0,0.02,0,0,0
T,30.28,*,T190315C00025000,,call,03/15/2019,03/14/2019,25,5.5,5.25,5.4,0,103,103
T,30.28,*,T190315P00025000,,put,03/15/2019,03/14/2019,25,0.01,0,0.01,0,1512,1512
T,30.28,*,T190315C00025500,,call,03/15/2019,03/14/2019,25.5,4.45,4.75,4.9,0,107,107
