UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
T,30.77,*,T190329C00021000,,call,03/29/2019,03/25/2019,21,0,9.7,9.95,0,0,0
T,30.77,*,T190329P00021000,,put,03/29/2019,03/25/2019,21,0,0,0.02,0,0,0
T,30.77,*,T190329C00022000,,call,03/29/2019,03/25/2019,22,0,8.65,8.95,0,0,0
T,30.77,*,T190329P00022000,,put,03/29/2019,03/25/2019,22,0,0,0.02,0,0,0
T,30.77,*,T190329C00022500,,call,03/29/2019,03/25/2019,22.5,0,8,9.2,0,0,0
T,30.77,*,T190329P00022500,,put,03/29/2019,03/25/2019,22.5,0.03,0,0.02,0,2,2
T,30.77,*,T190329C00023000,,call,03/29/2019,03/25/2019,23,0,7.25,8,0,0,0
T,30.77,*,T190329P00023000,,put,03/29/2019,03/25/2019,23,0,0,0.02,0,0,0
T,30.77,*,T190329C00023500,,call,03/29/2019,03/25/2019,23.5,6.85,7.2,7.35,0,1,1
T,30.77,*,T190329P00023500,,put,03/29/2019,03/25/2019,23.5,0.01,0,0.02,0,20,20
T,30.77,*,T190329C00024000,,call,03/29/2019,03/25/2019,24,0,6.75,6.85,0,0,0
T,30.77,*,T190329P00024000,,put,03/29/2019,03/25/2019,24,0.05,0,0.02,0,5,5
T,30.77,*,T190329C00024500,,call,03/29/2019,03/25/2019,24.5,0,6.25,6.4,0,0,0
T,30.77,*,T190329P00024500,,put,03/29/2019,03/25/2019,24.5,0,0,0.02,0,0,0
T,30.77,*,T190329C00025000,,call,03/29/2019,03/25/2019,25,0,5.75,5.85,0,0,0
T,30.77,*,T190329P00025000,,put,03/29/2019,03/25/2019,25,0.04,0,0.02,0,7,7
T,30.77,*,T190329C00025500,,call,03/29/2019,03/25/2019,25.5,5.25,5.25,5.35,0,3,3
T,30.77,*,T190329P00025500,,put,03/29/2019,03/25/2019,25.5,0.02,0,0.02,0,7,7
T,30.77,*,T190329C00026000,,call,03/29/2019,03/25/2019,26,5.01,4.75,4.9,0,4,4
T,30.77,*,T190329P00026000,,put,03/29/2019,03/25/2019,26,0.02,0,0.02,0,38,38
T,30.77,*,T190329C00026500,,call,03/29/2019,03/25/2019,26.5,3.8,4.25,4.35,0,16,16
T,30.77,*,T190329P00026500,,put,03/29/2019,03/25/2019,26.5,0.03,0,0.02,0,568,568
T,30.77,*,T190329C00027000,,call,03/29/2019,03/25/2019,27,4,3.75,3.85,8,33,33
T,30.77,*,T190329P00027000,,put,03/29/2019,03/25/2019,27,0.01,0,0.03,0,167,167
T,30.77,*,T190329C00027500,,call,03/29/2019,03/25/2019,27.5,3.3,3.25,3.35,14,13,56
T,30.77,*,T190329P00027500,,put,03/29/2019,03/25/2019,27.5,0.02,0,0.01,0,55,55
T,30.77,*,T190329C00028000,,call,03/29/2019,03/25/2019,28,2.8,2.78,2.83,538,305,771
T,30.77,*,T190329P00028000,,put,03/29/2019,03/25/2019,28,0.01,0.01,0.03,401,380,781
T,30.77,*,T190329C00028500,,call,03/29/2019,03/25/2019,28.5,2.23,2.28,2.33,23,102,125
T,30.77,*,T190329P00028500,,put,03/29/2019,03/25/2019,28.5,0.01,0,0.03,0,622,622
T,30.77,*,T190329C00029000,,call,03/29/2019,03/25/2019,29,1.79,1.78,1.83,121,329,436
T,30.77,*,T190329P00029000,,put,03/29/2019,03/25/2019,29,0.02,0,0.02,30,1199,1177
T,30.77,*,T190329C00029500,,call,03/29/2019,03/25/2019,29.5,1.2,1.29,1.34,31,410,404
T,30.77,*,T190329P00029500,,put,03/29/2019,03/25/2019,29.5,0.03,0.01,0.03,79,1849,1896
T,30.77,*,T190329C00030000,,call,03/29/2019,03/25/2019,30,0.83,0.82,0.86,356,2174,2129
T,30.77,*,T190329P00030000,,put,03/29/2019,03/25/2019,30,0.04,0.04,0.05,823,3164,3370
T,30.77,*,T190329C00030500,,call,03/29/2019,03/25/2019,30.5,0.43,0.42,0.44,1031,2424,2866
T,30.77,*,T190329P00030500,,put,03/29/2019,03/25/2019,30.5,0.13,0.12,0.14,3792,2594,4782
T,30.77,*,T190329C00031000,,call,03/29/2019,03/25/2019,31,0.15,0.14,0.15,3062,7490,9175
T,30.77,*,T190329P00031000,,put,03/29/2019,03/25/2019,31,0.33,0.34,0.36,2115,4727,5163
T,30.77,*,T190329C00031500,,call,03/29/2019,03/25/2019,31.5,0.04,0.03,0.04,2052,8584,9190
T,30.77,*,T190329P00031500,,put,03/29/2019,03/25/2019,31.5,0.75,0.73,0.75,427,537,527
T,30.77,*,T190329C00032000,,call,03/29/2019,03/25/2019,32,0.01,0,0.01,1584,9848,9202
T,30.77,*,T190329P00032000,,put,03/29/2019,03/25/2019,32,1.22,1.18,1.26,36,828,836
T,30.77,*,T190329C00032500,,call,03/29/2019,03/25/2019,32.5,0.01,0,0.01,58,1804,1856
T,30.77,*,T190329P00032500,,put,03/29/2019,03/25/2019,32.5,1.72,1.64,1.77,100,39,0
T,30.77,*,T190329C00033000,,call,03/29/2019,03/25/2019,33,0,0,0.02,0,0,339
T,30.77,*,T190329P00033000,,put,03/29/2019,03/25/2019,33,2.21,2.14,2.27,64,30,0
T,30.77,*,T190329C00033500,,call,03/29/2019,03/25/2019,33.5,0.01,0,0.01,0,304,304
T,30.77,*,T190329P00033500,,put,03/29/2019,03/25/2019,33.5,2.49,2.65,2.77,0,0,0
T,30.77,*,T190329C00034000,,call,03/29/2019,03/25/2019,34,0,0,0.01,0,67,67
T,30.77,*,T190329P00034000,,put,03/29/2019,03/25/2019,34,4.95,3.15,3.25,0,0,0
T,30.77,*,T190329C00034500,,call,03/29/2019,03/25/2019,34.5,0,0,0.02,0,0,0
T,30.77,*,T190329P00034500,,put,03/29/2019,03/25/2019,34.5,3.85,3.65,3.75,0,0,0
T,30.77,*,T190329C00035000,,call,03/29/2019,03/25/2019,35,0.02,0,0.01,0,10,10
