UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
T,31.4,*,T190329C00021000,,call,03/29/2019,03/27/2019,21,0,9.4,11.7,0,0,0
T,31.4,*,T190329P00021000,,put,03/29/2019,03/27/2019,21,0,0,0.02,0,0,0
T,31.4,*,T190329C00022000,,call,03/29/2019,03/27/2019,22,0,8.15,10.95,0,0,0
T,31.4,*,T190329P00022000,,put,03/29/2019,03/27/2019,22,0,0,0.02,0,0,0
T,31.4,*,T190329C00022500,,call,03/29/2019,03/27/2019,22.5,0,6.8,11.3,0,0,0
T,31.4,*,T190329P00022500,,put,03/29/2019,03/27/2019,22.5,0.03,0,0.02,0,2,2
T,31.4,*,T190329C00023000,,call,03/29/2019,03/27/2019,23,0,6.25,10.8,0,0,0
T,31.4,*,T190329P00023000,,put,03/29/2019,03/27/2019,23,0,0,2.13,0,0,0
T,31.4,*,T190329C00023500,,call,03/29/2019,03/27/2019,23.5,6.85,7.45,8.15,0,1,1
T,31.4,*,T190329P00023500,,put,03/29/2019,03/27/2019,23.5,0.01,0,2.13,0,20,20
T,31.4,*,T190329C00024000,,call,03/29/2019,03/27/2019,24,0,5.55,9.6,0,0,0
T,31.4,*,T190329P00024000,,put,03/29/2019,03/27/2019,24,0.05,0,0.02,0,5,5
T,31.4,*,T190329C00024500,,call,03/29/2019,03/27/2019,24.5,0,6.6,7.65,0,0,0
T,31.4,*,T190329P00024500,,put,03/29/2019,03/27/2019,24.5,0,0,2.13,0,0,0
T,31.4,*,T190329C00025000,,call,03/29/2019,03/27/2019,25,0,4.6,7.85,0,0,0
T,31.4,*,T190329P00025000,,put,03/29/2019,03/27/2019,25,0.04,0,0.03,0,7,7
T,31.4,*,T190329C00025500,,call,03/29/2019,03/27/2019,25.5,5.25,5.85,6.2,0,3,3
T,31.4,*,T190329P00025500,,put,03/29/2019,03/27/2019,25.5,0.02,0,0.02,0,7,7
T,31.4,*,T190329C00026000,,call,03/29/2019,03/27/2019,26,5.01,5.3,5.5,0,4,4
T,31.4,*,T190329P00026000,,put,03/29/2019,03/27/2019,26,0.02,0,0.03,0,38,38
T,31.4,*,T190329C00026500,,call,03/29/2019,03/27/2019,26.5,3.8,4.7,5.05,0,16,16
T,31.4,*,T190329P00026500,,put,03/29/2019,03/27/2019,26.5,0.03,0,0.02,0,568,568
T,31.4,*,T190329C00027000,,call,03/29/2019,03/27/2019,27,4.25,3.05,4.55,0,33,33
T,31.4,*,T190329P00027000,,put,03/29/2019,03/27/2019,27,0.01,0,0.25,0,167,167
T,31.4,*,T190329C00027500,,call,03/29/2019,03/27/2019,27.5,3.3,3.75,4.1,0,56,56
T,31.4,*,T190329P00027500,,put,03/29/2019,03/27/2019,27.5,0.02,0,0.01,0,55,55
T,31.4,*,T190329C00028000,,call,03/29/2019,03/27/2019,28,3.35,3.35,3.55,0,770,770
T,31.4,*,T190329P00028000,,put,03/29/2019,03/27/2019,28,0.01,0,0.01,0,781,781
T,31.4,*,T190329C00028500,,call,03/29/2019,03/27/2019,28.5,2.23,2.87,3.05,0,125,125
T,31.4,*,T190329P00028500,,put,03/29/2019,03/27/2019,28.5,0.01,0,0.02,0,622,622
T,31.4,*,T190329C00029000,,call,03/29/2019,03/27/2019,29,2.51,2.39,2.47,23,413,411
T,31.4,*,T190329P00029000,,put,03/29/2019,03/27/2019,29,0.01,0,0.01,6,1299,1299
T,31.4,*,T190329C00029500,,call,03/29/2019,03/27/2019,29.5,1.97,1.89,2.03,25,420,444
T,31.4,*,T190329P00029500,,put,03/29/2019,03/27/2019,29.5,0.02,0,0.01,0,1895,1895
T,31.4,*,T190329C00030000,,call,03/29/2019,03/27/2019,30,1.5,1.39,1.44,196,2021,2009
T,31.4,*,T190329P00030000,,put,03/29/2019,03/27/2019,30,0.01,0,0.01,82,3382,3377
T,31.4,*,T190329C00030500,,call,03/29/2019,03/27/2019,30.5,0.93,0.9,0.95,280,2449,2387
T,31.4,*,T190329P00030500,,put,03/29/2019,03/27/2019,30.5,0.02,0.01,0.02,227,4680,4580
T,31.4,*,T190329C00031000,,call,03/29/2019,03/27/2019,31,0.47,0.46,0.52,2226,9565,8162
T,31.4,*,T190329P00031000,,put,03/29/2019,03/27/2019,31,0.06,0.04,0.06,1675,5772,6613
T,31.4,*,T190329C00031500,,call,03/29/2019,03/27/2019,31.5,0.14,0.13,0.14,3423,9889,10389
