UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
T,30.22,*,T190315C00015000,,call,03/15/2019,03/11/2019,15,14.8,15.15,15.25,0,66,66
T,30.22,*,T190315P00015000,,put,03/15/2019,03/11/2019,15,0,0,0.01,0,0,0
T,30.22,*,T190315C00016000,,call,03/15/2019,03/11/2019,16,14.95,14.15,14.5,0,46,46
T,30.22,*,T190315P00016000,,put,03/15/2019,03/11/2019,16,0.01,0,0.01,0,2,2
T,30.22,*,T190315C00017000,,call,03/15/2019,03/11/2019,17,14.15,13,13.25,0,2,2
T,30.22,*,T190315P00017000,,put,03/15/2019,03/11/2019,17,0,0,0.01,0,0,0
T,30.22,*,T190315C00018000,,call,03/15/2019,03/11/2019,18,13.2,12.15,12.5,0,4,4
T,30.22,*,T190315P00018000,,put,03/15/2019,03/11/2019,18,0,0,0.01,0,0,0
T,30.22,*,T190315C00019000,,call,03/15/2019,03/11/2019,19,0,11.15,11.55,0,0,0
T,30.22,*,T190315P00019000,,put,03/15/2019,03/11/2019,19,0,0,0.01,0,0,0
T,30.22,*,T190315C00020000,,call,03/15/2019,03/11/2019,20,10.3,10.15,10.4,0,31,31
T,30.22,*,T190315P00020000,,put,03/15/2019,03/11/2019,20,0.01,0,0.01,0,69,69
T,30.22,*,T190315C00021000,,call,03/15/2019,03/11/2019,21,10,9.15,9.4,0,30,30
T,30.22,*,T190315P00021000,,put,03/15/2019,03/11/2019,21,0.01,0,0.01,0,80,80
T,30.22,*,T190315C00022000,,call,03/15/2019,03/11/2019,22,7.8,8.15,8.3,0,57,57
T,30.22,*,T190315P00022000,,put,03/15/2019,03/11/2019,22,0.01,0,0.01,0,41,41
T,30.22,*,T190315C00022500,,call,03/15/2019,03/11/2019,22.5,7.55,7.65,7.9,0,32,32
T,30.22,*,T190315P00022500,,put,03/15/2019,03/11/2019,22.5,0,0,0.01,0,0,0
T,30.22,*,T190315C00023000,,call,03/15/2019,03/11/2019,23,6.45,7,7.4,0,1,1
T,30.22,*,T190315P00023000,,put,03/15/2019,03/11/2019,23,0.01,0,0.01,0,226,226
T,30.22,*,T190315C00023500,,call,03/15/2019,03/11/2019,23.5,6.55,6.5,6.9,0,34,34
T,30.22,*,T190315P00023500,,put,03/15/2019,03/11/2019,23.5,0,0,0.01,0,0,0
T,30.22,*,T190315C00024000,,call,03/15/2019,03/11/2019,24,7.2,6,6.25,0,12,12
T,30.22,*,T190315P00024000,,put,03/15/2019,03/11/2019,24,0.01,0,0.01,0,240,240
T,30.22,*,T190315C00024500,,call,03/15/2019,03/11/2019,24.5,6.7,5.5,5.9,0,34,34
T,30.22,*,T190315P00024500,,put,03/15/2019,03/11/2019,24.5,0,0,0.01,0,0,0
T,30.22,*,T190315C00025000,,call,03/15/2019,03/11/2019,25,4.9,5.2,5.25,0,109,109
T,30.22,*,T190315P00025000,,put,03/15/2019,03/11/2019,25,0.01,0,0.01,0,1512,1512
T,30.22,*,T190315C00025500,,call,03/15/2019,03/11/2019,25.5,4.45,4.7,4.75,0,107,107
T,30.22,*,T190315P00025500,,put,03/15/2019,03/11/2019,25.5,0,0,0.01,0,0,0
T,30.22,*,T190315C00026000,,call,03/15/2019,03/11/2019,26,4.25,4.2,4.25,1,120,119
T,30.22,*,T190315P00026000,,put,03/15/2019,03/11/2019,26,0.01,0,0.01,4,1351,1347
T,30.22,*,T190315C00026500,,call,03/15/2019,03/11/2019,26.5,3.55,3.7,3.8,7,13,20
T,30.22,*,T190315P00026500,,put,03/15/2019,03/11/2019,26.5,0.01,0,0.02,0,19,19
T,30.22,*,T190315C00027000,,call,03/15/2019,03/11/2019,27,3.26,3.2,3.25,10,448,442
T,30.22,*,T190315P00027000,,put,03/15/2019,03/11/2019,27,0.01,0,0.01,0,4859,4859
T,30.22,*,T190315C00027500,,call,03/15/2019,03/11/2019,27.5,2.75,2.71,2.76,36,481,466
T,30.22,*,T190315P00027500,,put,03/15/2019,03/11/2019,27.5,0.01,0,0.01,40,100,140
T,30.22,*,T190315C00028000,,call,03/15/2019,03/11/2019,28,2.25,2.21,2.24,97,6269,6226
T,30.22,*,T190315P00028000,,put,03/15/2019,03/11/2019,28,0.01,0,0.01,443,32602,32769
T,30.22,*,T190315C00028500,,call,03/15/2019,03/11/2019,28.5,1.68,1.71,1.75,10,349,339
T,30.22,*,T190315P00028500,,put,03/15/2019,03/11/2019,28.5,0.01,0,0.01,54,2665,2716
T,30.22,*,T190315C00029000,,call,03/15/2019,03/11/2019,29,1.24,1.22,1.25,494,5089,4847
T,30.22,*,T190315P00029000,,put,03/15/2019,03/11/2019,29,0.02,0.01,0.02,111,14745,14738
T,30.22,*,T190315C00029500,,call,03/15/2019,03/11/2019,29.5,0.77,0.74,0.78,282,1738,1675
T,30.22,*,T190315P00029500,,put,03/15/2019,03/11/2019,29.5,0.03,0.03,0.04,320,7752,7792
T,30.22,*,T190315C00030000,,call,03/15/2019,03/11/2019,30,0.34,0.34,0.35,3777,30125,30875
T,30.22,*,T190315P00030000,,put,03/15/2019,03/11/2019,30,0.11,0.11,0.12,3582,30839,29843
T,30.22,*,T190315C00030500,,call,03/15/2019,03/11/2019,30.5,0.09,0.08,0.09,4485,4096,6591
T,30.22,*,T190315P00030500,,put,03/15/2019,03/11/2019,30.5,0.36,0.35,0.38,842,4832,4748
T,30.22,*,T190315C00031000,,call,03/15/2019,03/11/2019,31,0.02,0.01,0.02,1485,30449,30972
T,30.22,*,T190315P00031000,,put,03/15/2019,03/11/2019,31,0.73,0.78,0.81,64,10656,10673
T,30.22,*,T190315C00031500,,call,03/15/2019,03/11/2019,31.5,0.01,0,0.01,45,5394,5353
T,30.22,*,T190315P00031500,,put,03/15/2019,03/11/2019,31.5,1.21,1.27,1.31,8,913,918
T,30.22,*,T190315C00032000,,call,03/15/2019,03/11/2019,32,0.01,0,0.01,50,15293,15276
T,30.22,*,T190315P00032000,,put,03/15/2019,03/11/2019,32,1.78,1.77,1.81,15,2050,2044
T,30.22,*,T190315C00032500,,call,03/15/2019,03/11/2019,32.5,0.01,0,0.02,0,2174,2174
T,30.22,*,T190315P00032500,,put,03/15/2019,03/11/2019,32.5,2.48,2.23,2.31,7,19,19
T,30.22,*,T190315C00033000,,call,03/15/2019,03/11/2019,33,0.01,0,0.01,46,19761,19721
T,30.22,*,T190315P00033000,,put,03/15/2019,03/11/2019,33,2.75,2.78,2.8,52,709,732
T,30.22,*,T190315C00033500,,call,03/15/2019,03/11/2019,33.5,0.01,0,0.01,0,137,137
T,30.22,*,T190315P00033500,,put,03/15/2019,03/11/2019,33.5,2.35,3.25,3.35,0,0,0
T,30.22,*,T190315C00034000,,call,03/15/2019,03/11/2019,34,0.01,0,0.01,15,7278,7277
T,30.22,*,T190315P00034000,,put,03/15/2019,03/11/2019,34,4,3.75,3.85,0,22,22
T,30.22,*,T190315C00034500,,call,03/15/2019,03/11/2019,34.5,0,0,0.02,0,0,0
T,30.22,*,T190315P00034500,,put,03/15/2019,03/11/2019,34.5,3.6,4.25,4.35,0,56,56
T,30.22,*,T190315C00035000,,call,03/15/2019,03/11/2019,35,0.01,0,0.01,0,3412,3412
T,30.22,*,T190315P00035000,,put,03/15/2019,03/11/2019,35,5.1,4.75,4.85,0,65,65
T,30.22,*,T190315C00035500,,call,03/15/2019,03/11/2019,35.5,0,0,0.02,0,0,0
T,30.22,*,T190315P00035500,,put,03/15/2019,03/11/2019,35.5,4.2,5.25,5.55,0,0,0
T,30.22,*,T190315C00036000,,call,03/15/2019,03/11/2019,36,0.03,0,0.02,0,143,143
T,30.22,*,T190315P00036000,,put,03/15/2019,03/11/2019,36,5.7,5.75,6,0,51,51
T,30.22,*,T190315C00036500,,call,03/15/2019,03/11/2019,36.5,0,0,0.01,0,0,0
T,30.22,*,T190315P00036500,,put,03/15/2019,03/11/2019,36.5,5.2,6.25,6.5,0,0,0
T,30.22,*,T190315C00037000,,call,03/15/2019,03/11/2019,37,0,0,0.01,0,0,0
T,30.22,*,T190315P00037000,,put,03/15/2019,03/11/2019,37,0,6.75,7,0,0,0
T,30.22,*,T190315C00037500,,call,03/15/2019,03/11/2019,37.5,0,0,0.01,0,0,0
